enabled,personId,eventId,role,note,sourceIds,sort
TRUE,mao_zedong,rf_19341010_ruijin,参与者,随中央红军主力开始战略转移,src_cpc_century,10
TRUE,mao_zedong,rf_19350115_zunyi_meeting,关键参与者,遵义会议集中解决军事和组织问题,src_zunyi_hunan,20
TRUE,mao_zedong,rf_19350129_tucheng_chishui1,领导层,四渡赤水机动作战开始,src_zunyi_hunan,30
TRUE,mao_zedong,rf_19351019_wuqi,参与者,中央红军到达陕北吴起镇,src_cpc_century;src_shaanbei_12371,40
TRUE,zhou_enlai,rf_19341010_ruijin,参与者,随中央红军主力开始战略转移,src_cpc_century,10
TRUE,zhou_enlai,rf_19350115_zunyi_meeting,关键参与者,参加遵义会议,src_zunyi_hunan,20
TRUE,zhou_enlai,rf_19350310_gouba,会议参与者,参与苟坝会议相关讨论,src_party_chronology_xinhua;src_cpc_century,30
TRUE,zhu_de,rf_19350115_zunyi_meeting,关键参与者,参加遵义会议,src_zunyi_hunan,10
TRUE,zhu_de,rf_19350626_lianghekou,会议参与者,参加两河口会议,src_meetings_xinhua,20
TRUE,zhu_de,r2_19360603_ganzi_meeting,会师参与者,红二、六军团与红四方面军甘孜会师相关人物,src_meetings_xinhua,30
TRUE,liu_bocheng,rf_19350522_yihai_alliance,主角,与小叶丹在彝海结盟,src_yihai_people,10
TRUE,liu_bocheng,rf_19350525_anshunchang,指挥员,参与先遣部队强渡大渡河行动,src_zunyi_hunan,20
TRUE,xiao_yedan,rf_19350522_yihai_alliance,主角,彝海结盟后派向导带路,src_yihai_people,10
TRUE,chen_shuxiang,rf_19341130_xiangjiang_cover,掩护部队指挥员,红三十四师等部血战湘江掩护主力突围,src_epic_people;src_chenshuxiang_xinhua,10
TRUE,chen_shuxiang,rf_19341210_chenshuxiang,主角,湘江突围后负伤被俘并牺牲,src_chenshuxiang_xinhua;src_epic_people,20
TRUE,deng_ping,rf_19350227_dengping,主角,遵义战役前线侦察敌情时牺牲,src_dengping_people_2025;src_zunyi_hunan,10
TRUE,wu_huanxian,r25_19341116_hejiachong,领导者,红二十五军从何家冲出发,src_red25_people;src_dushuzhen_people,10
TRUE,wu_huanxian,r25_19350702_yuanjiagou,指挥员,袁家沟口战斗重要参与者,src_red25_yuanjiagou_people_2026,20
TRUE,wu_huanxian,r25_19350821_wuhuanxian_death,主角,甘肃泾川战斗中牺牲,src_shaanbei_12371,30
TRUE,liu_zhidan,sha_19341107_nanliang,根据地建设者,南梁革命根据地建设推进,src_shaanbei_12371;src_liuzhidan_mva,10
