enabled,id,targetType,targetId,title,alt,imageUrl,imagePageUrl,credit,license,sort
TRUE,vis_hero_red_map_final,hero,museum,red-map 运行截图,长征路线动态地图运行到最后进度的截图,docs/readme-home.png,,red-map local runtime screenshot,project asset,10
TRUE,vis_ex_route_map,exhibit,ex_route_map,red-map 动态路线截图,长征星火路线交互地图运行截图,docs/readme-home.png,,red-map local runtime screenshot,project asset,20
TRUE,vis_event_yudu,event,rf_19341017_yudu,于都第一渡口,中央红军长征第一渡口纪念园,docs/assets/visuals/vis_event_yudu.jpg,https://commons.wikimedia.org/wiki/File:Yudu_Zhongyang_Hongjun_Changzheng_Diyi_Dukou_2014.05.30_11-12-33.jpg,Zhangzhugang / Wikimedia Commons,see file page,30
TRUE,vis_event_zunyi,event,rf_19350115_zunyi_meeting,遵义会议旧址,遵义会议旧址建筑,docs/assets/visuals/vis_event_zunyi.jpg,https://commons.wikimedia.org/wiki/File:Site_of_Zunyi_Conference_(20180220101816).jpg,Wikimedia Commons contributor,see file page,40
TRUE,vis_event_luding,event,rf_19350529_luding_bridge,泸定桥,大渡河上的泸定桥,docs/assets/visuals/vis_event_luding.jpg,https://commons.wikimedia.org/wiki/File:Luding_Bridge_over_the_Dadu_River%2C_in_Luding_County%2C_Sichuan%2C_China%2C_2018.jpg,Wikimedia Commons contributor,see file page,50
TRUE,vis_event_huining,event,r4_19361009_huining,会宁会师旧址,长征会师联欢会举行处,docs/assets/visuals/vis_event_huining.jpg,https://commons.wikimedia.org/wiki/File:%E9%95%BF%E5%BE%81%E4%BC%9A%E5%B8%88%E8%81%94%E6%AC%A2%E4%BC%9A%E4%B8%BE%E8%A1%8C%E5%A4%84.jpg,Wikimedia Commons contributor,see file page,60
TRUE,vis_person_liuzhidan,person,liu_zhidan,刘志丹照片,刘志丹历史照片,docs/assets/visuals/vis_person_liuzhidan.jpg,https://commons.wikimedia.org/wiki/File:Liu_Zhidan.jpg,Wikimedia Commons,Public domain / see file page,65
TRUE,vis_person_wuhuanxian,person,wu_huanxian,吴焕先照片,吴焕先历史照片,docs/assets/visuals/vis_person_wuhuanxian.jpg,https://commons.wikimedia.org/wiki/File:Wu_Huanxian.jpg,Wikimedia Commons,Public domain / see file page,66
TRUE,vis_person_xiaoyedan,person,xiao_yedan,小叶丹照片,小叶丹历史照片,docs/assets/visuals/vis_person_xiaoyedan.jpg,https://commons.wikimedia.org/wiki/File:Xiao_Yedan_(3x4_cropped).jpg,Wikimedia Commons,Public domain / see file page,67
TRUE,vis_person_mao,person,mao_zedong,毛泽东陕北时期照片,毛泽东在陕北时期的历史照片,docs/assets/visuals/vis_person_mao.jpg,https://commons.wikimedia.org/wiki/File:Long_march_Mao.jpg,Wikimedia Commons,see file page,70
